,Sender,Titel,Genre,Sparte,Wochentag,Datum,Sendungsanfang,Sendungslänge,Sendungende
2821,CC,Bob's Burgers  USA 2013,Comedyserie,Serie,Fr,31.07.,2020-07-31 08:05:00,0 days 00:25:00.000000000,2020-07-31 08:30:00
2822,PRO7M,Highway Heroes Canada – Einsatz auf dem 401  Kan. 2019,Dokuserie,Unterhaltung,Fr,31.07.,2020-07-31 08:15:00,0 days 00:50:00.000000000,2020-07-31 09:05:00
2823,RTL2,Die Straßencops – Jugend im Visier  2015,Reportage,Report,Fr,31.07.,2020-07-31 08:20:00,0 days 01:00:00.000000000,2020-07-31 09:20:00
2824,RTLPL,Das Jugendgericht,Gerichtsshow,Unterhaltung,Fr,31.07.,2020-07-31 08:20:00,0 days 00:55:00.000000000,2020-07-31 09:15:00
2825,PRO7,The Big Bang Theory  USA 2014,Sitcom,Serie,Fr,31.07.,2020-07-31 08:25:00,0 days 00:20:00.000000000,2020-07-31 08:45:00
2826,RTL,"Gute Zeiten, schlechte Zeiten  D 2020",Daily Soap,Serie,Fr,31.07.,2020-07-31 08:30:00,0 days 00:30:00.000000000,2020-07-31 09:00:00
2827,3SAT,ZiB,Nachrichten,,Fr,31.07.,2020-07-31 08:30:00,0 days 00:03:00.000000000,2020-07-31 08:33:00
2828,ARTE,Stadt Land Kunst  F,Magazin,Report,Fr,31.07.,2020-07-31 08:30:00,0 days 00:40:00.000000000,2020-07-31 09:10:00
2829,SIXX,Verliebt in Berlin  D 2006,Telenovela,Serie,Fr,31.07.,2020-07-31 08:30:00,0 days 00:30:00.000000000,2020-07-31 09:00:00
2830,CC,Bob's Burgers  USA 2013,Comedyserie,Serie,Fr,31.07.,2020-07-31 08:30:00,0 days 00:24:00.000000000,2020-07-31 08:54:00
2831,3SAT,Alpenpanorama,Naturdoku,Report,Fr,31.07.,2020-07-31 08:33:00,0 days 00:27:00.000000000,2020-07-31 09:00:00
2832,RTL-N,Law & Order  USA 2009,Krimiserie,Serie,Fr,31.07.,2020-07-31 08:35:00,0 days 00:45:00.000000000,2020-07-31 09:20:00
2833,K1,Navy CIS  USA 2008,Krimiserie,Serie,Fr,31.07.,2020-07-31 08:40:00,0 days 00:55:00.000000000,2020-07-31 09:35:00
2834,PRO7,The Big Bang Theory  USA 2014,Sitcom,Serie,Fr,31.07.,2020-07-31 08:45:00,0 days 00:25:00.000000000,2020-07-31 09:10:00
2835,VOX,Verklag mich doch!  D,Realitydoku,Unterhaltung,Fr,31.07.,2020-07-31 08:50:00,0 days 01:00:00.000000000,2020-07-31 09:50:00
2836,DMAX,Hardcore Pawn – Das härteste Pfandhaus Detroits  USA,Dokusoap,Unterhaltung,Fr,31.07.,2020-07-31 08:50:00,0 days 00:30:00.000000000,2020-07-31 09:20:00
2837,CC,South Park  USA 2007,Zeichentrick,Serie,Fr,31.07.,2020-07-31 08:54:00,0 days 00:31:00.000000000,2020-07-31 09:25:00
2838,2NEO,"Stadt, Land, Lecker  D",Kochduell,Unterhaltung,Fr,31.07.,2020-07-31 08:55:00,0 days 00:45:00.000000000,2020-07-31 09:40:00
2839,ARD,Tagesschau  D,Nachrichten,,Fr,31.07.,2020-07-31 09:00:00,0 days 00:05:00.000000000,2020-07-31 09:05:00
2840,ZDF,heute Xpress,Nachrichten,,Fr,31.07.,2020-07-31 09:00:00,0 days 00:05:00.000000000,2020-07-31 09:05:00
2841,RTL,Unter uns  D 2020,Daily Soap,Serie,Fr,31.07.,2020-07-31 09:00:00,0 days 00:30:00.000000000,2020-07-31 09:30:00
2842,3SAT,ZiB,Nachrichten,,Fr,31.07.,2020-07-31 09:00:00,0 days 00:05:00.000000000,2020-07-31 09:05:00
2843,SIXX,Verliebt in Berlin  D 2006,Telenovela,Serie,Fr,31.07.,2020-07-31 09:00:00,0 days 00:25:00.000000000,2020-07-31 09:25:00
2844,ARD,Live nach Neun  D,Magazin,Unterhaltung,Fr,31.07.,2020-07-31 09:05:00,0 days 00:50:00.000000000,2020-07-31 09:55:00
2845,ZDF,Volle Kanne – Service täglich  D,Verbrauchertipps,Report,Fr,31.07.,2020-07-31 09:05:00,0 days 01:25:00.000000000,2020-07-31 10:30:00
2846,3SAT,Traumhäuser  D 2015,Doku,Report,Fr,31.07.,2020-07-31 09:05:00,0 days 00:30:00.000000000,2020-07-31 09:35:00
2847,PRO7M,Infomercials,Werbesendung,,Fr,31.07.,2020-07-31 09:05:00,0 days 01:00:00.000000000,2020-07-31 10:05:00
2848,SERVU,Servus Wetter  A,Wetterbericht,Report,Fr,31.07.,2020-07-31 09:08:00,0 days 00:02:00.000000000,2020-07-31 09:10:00
2849,PRO7,How I Met Your Mother  USA 2008,Sitcom,Serie,Fr,31.07.,2020-07-31 09:10:00,0 days 00:30:00.000000000,2020-07-31 09:40:00
2850,ARTE,Die Waldretter – Kampf gegen die Monokultur  D/F/Pol. 2019,Dokureihe,Report,Fr,31.07.,2020-07-31 09:10:00,0 days 00:30:00.000000000,2020-07-31 09:40:00
2851,FES,Brisant,Boulevardmagazin,Unterhaltung,Fr,31.07.,2020-07-31 09:10:00,0 days 00:40:00.000000000,2020-07-31 09:50:00
2852,SERVU,Servus Österreich  A,Doku,Report,Fr,31.07.,2020-07-31 09:10:00,0 days 01:00:00.000000000,2020-07-31 10:10:00
2853,RTLPL,Das Jugendgericht,Gerichtsshow,Unterhaltung,Fr,31.07.,2020-07-31 09:15:00,0 days 00:50:00.000000000,2020-07-31 10:05:00
2854,RTL2,Die Straßencops – Jugend im Visier  2015,Reportage,Report,Fr,31.07.,2020-07-31 09:20:00,0 days 01:00:00.000000000,2020-07-31 10:20:00
2855,RTL-N,Leverage  USA 2008,Krimiserie,Serie,Fr,31.07.,2020-07-31 09:20:00,0 days 00:45:00.000000000,2020-07-31 10:05:00
2856,DMAX,Hardcore Pawn – Das härteste Pfandhaus Detroits  USA,Dokusoap,Unterhaltung,Fr,31.07.,2020-07-31 09:20:00,0 days 00:30:00.000000000,2020-07-31 09:50:00
2857,SIXX,Anna und die Liebe  D 2012,Telenovela,Serie,Fr,31.07.,2020-07-31 09:25:00,0 days 00:30:00.000000000,2020-07-31 09:55:00
2858,CC,South Park  USA 2007,Zeichentrickserie,Serie,Fr,31.07.,2020-07-31 09:25:00,0 days 00:26:00.000000000,2020-07-31 09:51:00
2859,RTL,Alles was zählt  D 2020,Daily Soap,Serie,Fr,31.07.,2020-07-31 09:30:00,0 days 00:30:00.000000000,2020-07-31 10:00:00
2860,K1,Blue Bloods – Crime Scene New York  USA 2014,Krimiserie,Serie,Fr,31.07.,2020-07-31 09:35:00,0 days 00:55:00.000000000,2020-07-31 10:30:00
2861,3SAT,"Erlebnisreisen: Schweiz – Eiger, Mönch und Jungfrau  D",Reportage,Report,Fr,31.07.,2020-07-31 09:35:00,0 days 00:10:00.000000000,2020-07-31 09:45:00
2862,PRO7,How I Met Your Mother  USA 2008,Sitcom,Serie,Fr,31.07.,2020-07-31 09:40:00,0 days 00:25:00.000000000,2020-07-31 10:05:00
2863,ARTE,Plastik überall  D 2018,Doku,Report,Fr,31.07.,2020-07-31 09:40:00,0 days 01:35:00.000000000,2020-07-31 11:15:00
2864,2NEO,Bares für Rares  D,Trödelshow,Unterhaltung,Fr,31.07.,2020-07-31 09:40:00,0 days 00:55:00.000000000,2020-07-31 10:35:00
2865,3SAT,Die Wildnis Myanmars  NL 2018,Doku,Report,Fr,31.07.,2020-07-31 09:45:00,0 days 00:30:00.000000000,2020-07-31 10:15:00
2866,SAT1G,Unsere kleine Farm  USA 1982,Familienserie,Serie,Fr,31.07.,2020-07-31 09:45:00,0 days 00:50:00.000000000,2020-07-31 10:35:00
2867,VOX,Verklag mich doch!  D,Realitydoku,Unterhaltung,Fr,31.07.,2020-07-31 09:50:00,0 days 01:00:00.000000000,2020-07-31 10:50:00
2868,FES,Geld.Macht.Liebe  D 2009,Familienserie,Serie,Fr,31.07.,2020-07-31 09:50:00,0 days 00:45:00.000000000,2020-07-31 10:35:00
2869,DMAX,Infomercial,Werbesendung,,Fr,31.07.,2020-07-31 09:50:00,0 days 00:25:00.000000000,2020-07-31 10:15:00
2870,CC,South Park  USA 2007,Zeichentrickserie,Serie,Fr,31.07.,2020-07-31 09:51:00,0 days 00:26:00.000000000,2020-07-31 10:17:00
2871,ARD,In aller Freundschaft – Die jungen Ärzte  D 2018,Krankenhausserie,Serie,Fr,31.07.,2020-07-31 09:55:00,0 days 00:50:00.000000000,2020-07-31 10:45:00
2872,TELE5,Dauerwerbesendung,Werbesendung,,Fr,31.07.,2020-07-31 09:55:00,0 days 02:00:00.000000000,2020-07-31 11:55:00
2873,SIXX,Anna und die Liebe  D 2012,Telenovela,Serie,Fr,31.07.,2020-07-31 09:55:00,0 days 00:30:00.000000000,2020-07-31 10:25:00
2874,RTL,Der Blaulicht Report  D,Dokusoap,Unterhaltung,Fr,31.07.,2020-07-31 10:00:00,0 days 01:00:00.000000000,2020-07-31 11:00:00
2875,SAT1,Im Namen der Gerechtigkeit – Wir kämpfen für Sie!  D,Realitysoap,Unterhaltung,Fr,31.07.,2020-07-31 10:00:00,0 days 01:00:00.000000000,2020-07-31 11:00:00
2876,PRO7,How I Met Your Mother  USA 2008,Sitcom,Serie,Fr,31.07.,2020-07-31 10:05:00,0 days 00:25:00.000000000,2020-07-31 10:30:00
2877,RTL-N,Leverage  USA 2008,Krimiserie,Serie,Fr,31.07.,2020-07-31 10:05:00,0 days 00:45:00.000000000,2020-07-31 10:50:00
2878,PRO7M,Border Patrol Australia  AUS,Dokureihe,Report,Fr,31.07.,2020-07-31 10:05:00,0 days 00:25:00.000000000,2020-07-31 10:30:00
2879,RTLPL,Die Schulermittler  D,Dokusoap,Unterhaltung,Fr,31.07.,2020-07-31 10:05:00,0 days 00:30:00.000000000,2020-07-31 10:35:00
2880,SERVU,Grüne Zukunft – Helden des Alltags  F 2015,Doku,Report,Fr,31.07.,2020-07-31 10:10:00,0 days 00:55:00.000000000,2020-07-31 11:05:00
2881,3SAT,Wasserwelten  BRD,Naturdoku,Report,Fr,31.07.,2020-07-31 10:15:00,0 days 00:45:00.000000000,2020-07-31 11:00:00
2882,DMAX,Steel Buddies – Stahlharte Geschäfte  D,Doku,Unterhaltung,Fr,31.07.,2020-07-31 10:15:00,0 days 01:00:00.000000000,2020-07-31 11:15:00
2883,CC,American Dad  USA 2014,Zeichentrickserie,Serie,Fr,31.07.,2020-07-31 10:17:00,0 days 00:30:00.000000000,2020-07-31 10:47:00
2884,RTL2,Frauentausch  D,Dokusoap,Unterhaltung,Fr,31.07.,2020-07-31 10:20:00,0 days 01:55:00.000000000,2020-07-31 12:15:00
2885,SIXX,Anna und die Liebe  D 2012,Telenovela,Serie,Fr,31.07.,2020-07-31 10:25:00,0 days 00:25:00.000000000,2020-07-31 10:50:00
2886,ZDF,Notruf Hafenkante  D 2011,Polizeiserie,Serie,Fr,31.07.,2020-07-31 10:30:00,0 days 00:45:00.000000000,2020-07-31 11:15:00
2887,PRO7,How I Met Your Mother  USA 2008,Sitcom,Serie,Fr,31.07.,2020-07-31 10:30:00,0 days 00:25:00.000000000,2020-07-31 10:55:00
2888,K1,Blue Bloods – Crime Scene New York  USA 2014,Krimiserie,Serie,Fr,31.07.,2020-07-31 10:30:00,0 days 00:50:00.000000000,2020-07-31 11:20:00
2889,PRO7M,Border Patrol Australia  AUS,Dokureihe,Report,Fr,31.07.,2020-07-31 10:30:00,0 days 00:25:00.000000000,2020-07-31 10:55:00
2890,2NEO,Bares für Rares  D,Trödelshow,Unterhaltung,Fr,31.07.,2020-07-31 10:35:00,0 days 00:50:00.000000000,2020-07-31 11:25:00
2891,FES,Lindenstraße  D 2019,Familienserie,Serie,Fr,31.07.,2020-07-31 10:35:00,0 days 00:30:00.000000000,2020-07-31 11:05:00
2892,SAT1G,Unsere kleine Farm  USA 1982,Familienserie,Serie,Fr,31.07.,2020-07-31 10:35:00,0 days 00:50:00.000000000,2020-07-31 11:25:00
2893,RTLPL,Die Schulermittler  D,Dokusoap,Unterhaltung,Fr,31.07.,2020-07-31 10:35:00,0 days 00:25:00.000000000,2020-07-31 11:00:00
2894,ARD,Meister des Alltags  D,Wissensquiz,Unterhaltung,Fr,31.07.,2020-07-31 10:45:00,0 days 00:30:00.000000000,2020-07-31 11:15:00
2895,CC,American Dad  USA 2014,Zeichentrickserie,Serie,Fr,31.07.,2020-07-31 10:47:00,0 days 00:22:00.000000000,2020-07-31 11:09:00
2896,VOX,vox nachrichten,Nachrichten,,Fr,31.07.,2020-07-31 10:50:00,0 days 00:05:00.000000000,2020-07-31 10:55:00
2897,RTL-N,J.A.G. – Im Auftrag der Ehre  USA 1996,Actionserie,Serie,Fr,31.07.,2020-07-31 10:50:00,0 days 00:45:00.000000000,2020-07-31 11:35:00
2898,SIXX,Anna und die Liebe  D 2012,Telenovela,Serie,Fr,31.07.,2020-07-31 10:50:00,0 days 00:30:00.000000000,2020-07-31 11:20:00
2899,PRO7,Mike & Molly  USA 2013,Comedyserie,Serie,Fr,31.07.,2020-07-31 10:55:00,0 days 00:25:00.000000000,2020-07-31 11:20:00
2900,VOX,"Mein Kind, dein Kind – Wie erziehst du denn?  D",Dokusoap,Unterhaltung,Fr,31.07.,2020-07-31 10:55:00,0 days 01:05:00.000000000,2020-07-31 12:00:00
2901,PRO7M,Border Patrol Australia  AUS,Dokureihe,Report,Fr,31.07.,2020-07-31 10:55:00,0 days 00:25:00.000000000,2020-07-31 11:20:00
2902,RTL,Der Blaulicht Report  D,Dokusoap,Unterhaltung,Fr,31.07.,2020-07-31 11:00:00,0 days 01:00:00.000000000,2020-07-31 12:00:00
2903,SAT1,Im Namen der Gerechtigkeit – Wir kämpfen für Sie!  D,Realitysoap,Unterhaltung,Fr,31.07.,2020-07-31 11:00:00,0 days 01:00:00.000000000,2020-07-31 12:00:00
2904,3SAT,Hummerfang in Kanada,Doku,Report,Fr,31.07.,2020-07-31 11:00:00,0 days 00:30:00.000000000,2020-07-31 11:30:00
2905,RTLPL,Die Schulermittler  D,Dokusoap,Unterhaltung,Fr,31.07.,2020-07-31 11:00:00,0 days 00:30:00.000000000,2020-07-31 11:30:00
2906,FES,Morden im Norden  D 2015,Krimiserie,Serie,Fr,31.07.,2020-07-31 11:05:00,0 days 00:50:00.000000000,2020-07-31 11:55:00
2907,SERVU,In 80 Gärten um die Welt  GB 2011,Doku,Report,Fr,31.07.,2020-07-31 11:05:00,0 days 00:58:00.000000000,2020-07-31 12:03:00
2908,CC,Friends  USA 2003,Comedyserie,Serie,Fr,31.07.,2020-07-31 11:09:00,0 days 00:26:00.000000000,2020-07-31 11:35:00
2909,ARD,Gefragt – Gejagt  D,Rateshow,Unterhaltung,Fr,31.07.,2020-07-31 11:15:00,0 days 00:45:00.000000000,2020-07-31 12:00:00
2910,ZDF,SOKO Stuttgart  D 2010,Krimiserie,Serie,Fr,31.07.,2020-07-31 11:15:00,0 days 00:45:00.000000000,2020-07-31 12:00:00
2911,ARTE,Korallensterben – Rettung am Great Barrier Reef  AUS 2018,Doku,Report,Fr,31.07.,2020-07-31 11:15:00,0 days 00:50:00.000000000,2020-07-31 12:05:00
2912,DMAX,Deutschland 24/7 – Ohne uns läuft nichts!  D,Dokureihe,Report,Fr,31.07.,2020-07-31 11:15:00,0 days 01:00:00.000000000,2020-07-31 12:15:00
2913,PRO7,Man with a Plan  USA 2018,Comedyserie,Serie,Fr,31.07.,2020-07-31 11:20:00,0 days 00:25:00.000000000,2020-07-31 11:45:00
2914,K1,Without a Trace – Spurlos verschwunden  USA 2007,Krimiserie,Serie,Fr,31.07.,2020-07-31 11:20:00,0 days 01:00:00.000000000,2020-07-31 12:20:00
2915,SIXX,Betty in New York  USA 2019,Comedyserie,Serie,Fr,31.07.,2020-07-31 11:20:00,0 days 00:55:00.000000000,2020-07-31 12:15:00
2916,PRO7M,Border Patrol Australia  AUS,Dokureihe,Report,Fr,31.07.,2020-07-31 11:20:00,0 days 00:30:00.000000000,2020-07-31 11:50:00
2917,2NEO,Dinner Date  D,Dateshow,Unterhaltung,Fr,31.07.,2020-07-31 11:25:00,0 days 00:45:00.000000000,2020-07-31 12:10:00
2918,SAT1G,Ein Engel auf Erden  USA 1984,Familienserie,Serie,Fr,31.07.,2020-07-31 11:25:00,0 days 00:55:00.000000000,2020-07-31 12:20:00
2919,3SAT,Stolperstein,Magazin,Report,Fr,31.07.,2020-07-31 11:30:00,0 days 00:30:00.000000000,2020-07-31 12:00:00
2920,RTLPL,Die Schulermittler  D,Dokusoap,Unterhaltung,Fr,31.07.,2020-07-31 11:30:00,0 days 00:30:00.000000000,2020-07-31 12:00:00
2921,RTL-N,J.A.G. – Im Auftrag der Ehre  USA 1996,Actionserie,Serie,Fr,31.07.,2020-07-31 11:35:00,0 days 00:50:00.000000000,2020-07-31 12:25:00
2922,CC,Friends  USA 2003,Comedyserie,Serie,Fr,31.07.,2020-07-31 11:35:00,0 days 00:22:00.000000000,2020-07-31 11:57:00
2923,PRO7,Last Man Standing  USA 2013,Comedyserie,Serie,Fr,31.07.,2020-07-31 11:45:00,0 days 00:25:00.000000000,2020-07-31 12:10:00
2924,PRO7M,Border Patrol Australia  AUS,Dokureihe,Report,Fr,31.07.,2020-07-31 11:50:00,0 days 00:20:00.000000000,2020-07-31 12:10:00
2925,TELE5,Dauerwerbesendung,Werbesendung,,Fr,31.07.,2020-07-31 11:55:00,0 days 02:00:00.000000000,2020-07-31 13:55:00
2926,FES,Sturm der Liebe  D 2014,Telenovela,Serie,Fr,31.07.,2020-07-31 11:55:00,0 days 00:45:00.000000000,2020-07-31 12:40:00
2927,CC,Friends  USA 2003,Comedyserie,Serie,Fr,31.07.,2020-07-31 11:57:00,0 days 00:27:00.000000000,2020-07-31 12:24:00
2928,ARD,Tagesschau  D,Nachrichten,,Fr,31.07.,2020-07-31 12:00:00,0 days 00:15:00.000000000,2020-07-31 12:15:00
2929,ZDF,heute,,,Fr,31.07.,2020-07-31 12:00:00,0 days 00:10:00.000000000,2020-07-31 12:10:00
2930,RTL,Punkt 12 – Das RTL-Mittagsjournal  D,Magazin,Unterhaltung,Fr,31.07.,2020-07-31 12:00:00,0 days 02:00:00.000000000,2020-07-31 14:00:00
2931,SAT1,Anwälte im Einsatz  D,Realitysoap,Unterhaltung,Fr,31.07.,2020-07-31 12:00:00,0 days 01:00:00.000000000,2020-07-31 13:00:00
2932,VOX,Shopping Queen  D,Stylingsoap,Unterhaltung,Fr,31.07.,2020-07-31 12:00:00,0 days 01:00:00.000000000,2020-07-31 13:00:00
2933,3SAT,Kenos kurzes Leben  D 2018,Reportage,Report,Fr,31.07.,2020-07-31 12:00:00,0 days 00:45:00.000000000,2020-07-31 12:45:00
2934,RTLPL,Das Strafgericht  D,Gerichtsshow,Unterhaltung,Fr,31.07.,2020-07-31 12:00:00,0 days 00:55:00.000000000,2020-07-31 12:55:00
2935,SERVU,Servus Wetter  A,Wetterbericht,Report,Fr,31.07.,2020-07-31 12:03:00,0 days 00:02:00.000000000,2020-07-31 12:05:00
2936,ARTE,Vergessene Wracks  D 2017,Doku,Report,Fr,31.07.,2020-07-31 12:05:00,0 days 00:55:00.000000000,2020-07-31 13:00:00
2937,SERVU,Spektakuläre Bauwerke  GB 2018,Dokureihe,Report,Fr,31.07.,2020-07-31 12:05:00,0 days 00:55:00.000000000,2020-07-31 13:00:00
2938,ZDF,drehscheibe,Magazin,Report,Fr,31.07.,2020-07-31 12:10:00,0 days 00:50:00.000000000,2020-07-31 13:00:00
2939,PRO7,2 Broke Girls  USA 2016,Sitcom,Serie,Fr,31.07.,2020-07-31 12:10:00,0 days 00:25:00.000000000,2020-07-31 12:35:00
2940,2NEO,Monk  USA 2005,Krimiserie,Serie,Fr,31.07.,2020-07-31 12:10:00,0 days 00:40:00.000000000,2020-07-31 12:50:00
2941,PRO7M,Border Patrol Australia  AUS,Dokureihe,Report,Fr,31.07.,2020-07-31 12:10:00,0 days 00:30:00.000000000,2020-07-31 12:40:00
2942,ARD,ARD-Buffet,Infomagazin,Report,Fr,31.07.,2020-07-31 12:15:00,0 days 00:45:00.000000000,2020-07-31 13:00:00
2943,RTL2,Frauentausch  D,Dokusoap,Unterhaltung,Fr,31.07.,2020-07-31 12:15:00,0 days 01:55:00.000000000,2020-07-31 14:10:00
2944,DMAX,Fang des Lebens – Der gefährlichste Job Alaskas  USA,Reportage,Report,Fr,31.07.,2020-07-31 12:15:00,0 days 01:00:00.000000000,2020-07-31 13:15:00
2945,SIXX,Total Dreamer – Träume werden wahr  Bras. 2015,Telenovela,Serie,Fr,31.07.,2020-07-31 12:15:00,0 days 00:55:00.000000000,2020-07-31 13:10:00
2946,K1,Castle  USA 2014,Krimiserie,Serie,Fr,31.07.,2020-07-31 12:20:00,0 days 00:50:00.000000000,2020-07-31 13:10:00
2947,SAT1G,Dr. Quinn – Ärztin aus Leidenschaft  USA 1998,Westernserie,Serie,Fr,31.07.,2020-07-31 12:20:00,0 days 00:50:00.000000000,2020-07-31 13:10:00
2948,CC,Die Wilden Siebziger  USA 2001,Comedyserie,Serie,Fr,31.07.,2020-07-31 12:24:00,0 days 00:25:00.000000000,2020-07-31 12:49:00
2949,RTL-N,J.A.G. – Im Auftrag der Ehre  USA 1996,Actionserie,Serie,Fr,31.07.,2020-07-31 12:25:00,0 days 00:45:00.000000000,2020-07-31 13:10:00
2950,PRO7,Mom  USA 2013,Sitcom,Serie,Fr,31.07.,2020-07-31 12:35:00,0 days 00:30:00.000000000,2020-07-31 13:05:00
2951,FES,Sturm der Liebe  D 2014,Telenovela,Serie,Fr,31.07.,2020-07-31 12:40:00,0 days 00:50:00.000000000,2020-07-31 13:30:00
2952,PRO7M,Border Patrol Australia  AUS,Dokureihe,Report,Fr,31.07.,2020-07-31 12:40:00,0 days 00:25:00.000000000,2020-07-31 13:05:00
2953,3SAT,sonntags,Wertemagazin,Report,Fr,31.07.,2020-07-31 12:45:00,0 days 00:35:00.000000000,2020-07-31 13:20:00
2954,CC,Die Wilden Siebziger  USA 2001,Comedyserie,Serie,Fr,31.07.,2020-07-31 12:49:00,0 days 00:21:00.000000000,2020-07-31 13:10:00
2955,2NEO,Monk  USA 2005,Krimiserie,Serie,Fr,31.07.,2020-07-31 12:50:00,0 days 00:45:00.000000000,2020-07-31 13:35:00
2956,RTLPL,Das Strafgericht  D,Gerichtsshow,Unterhaltung,Fr,31.07.,2020-07-31 12:55:00,0 days 00:50:00.000000000,2020-07-31 13:45:00
2957,ARD,ARD-Mittagsmagazin,Nachrichtenmagazin,Report,Fr,31.07.,2020-07-31 13:00:00,0 days 01:00:00.000000000,2020-07-31 14:00:00
2958,ZDF,ARD-Mittagsmagazin,Nachrichtenmagazin,Report,Fr,31.07.,2020-07-31 13:00:00,0 days 01:00:00.000000000,2020-07-31 14:00:00
2959,SAT1,Anwälte im Einsatz  D,Realitysoap,Unterhaltung,Fr,31.07.,2020-07-31 13:00:00,0 days 01:00:00.000000000,2020-07-31 14:00:00
2960,VOX,Zwischen Tüll und Tränen  D,Dokusoap,Unterhaltung,Fr,31.07.,2020-07-31 13:00:00,0 days 01:00:00.000000000,2020-07-31 14:00:00
2961,ARTE,Stadt Land Kunst  F,Magazin,Report,Fr,31.07.,2020-07-31 13:00:00,0 days 00:40:00.000000000,2020-07-31 13:40:00
2962,SERVU,mare TV,Reisemagazin,Report,Fr,31.07.,2020-07-31 13:00:00,0 days 00:58:00.000000000,2020-07-31 13:58:00
2963,PRO7,Mom  USA 2013,Sitcom,Serie,Fr,31.07.,2020-07-31 13:05:00,0 days 00:25:00.000000000,2020-07-31 13:30:00
2964,PRO7M,Border Patrol Australia  AUS,Dokureihe,Report,Fr,31.07.,2020-07-31 13:05:00,0 days 00:30:00.000000000,2020-07-31 13:35:00
2965,K1,The Mentalist  USA 2012,Krimiserie,Serie,Fr,31.07.,2020-07-31 13:10:00,0 days 00:55:00.000000000,2020-07-31 14:05:00
2966,RTL-N,Team Knight Rider  USA 1998,Actionserie,Serie,Fr,31.07.,2020-07-31 13:10:00,0 days 00:45:00.000000000,2020-07-31 13:55:00
2967,SIXX,Gilmore Girls  USA 2000,Familienserie,Serie,Fr,31.07.,2020-07-31 13:10:00,0 days 00:55:00.000000000,2020-07-31 14:05:00
2968,SAT1G,Unsere kleine Farm  USA 1982,Familienserie,Serie,Fr,31.07.,2020-07-31 13:10:00,0 days 00:50:00.000000000,2020-07-31 14:00:00
2969,CC,Modern Family  USA 2016,Sitcom,Serie,Fr,31.07.,2020-07-31 13:10:00,0 days 00:29:00.000000000,2020-07-31 13:39:00
2970,DMAX,Fang des Lebens – Der gefährlichste Job Alaskas  USA,Reportage,Report,Fr,31.07.,2020-07-31 13:15:00,0 days 01:00:00.000000000,2020-07-31 14:15:00
2971,3SAT,Jagd aufs Unwetter  D,Reportagereihe,Report,Fr,31.07.,2020-07-31 13:20:00,0 days 00:30:00.000000000,2020-07-31 13:50:00
2972,PRO7,Two and a Half Men  USA 2010,Comedyserie,Serie,Fr,31.07.,2020-07-31 13:30:00,0 days 00:25:00.000000000,2020-07-31 13:55:00
2973,FES,Tierärztin Dr. Mertens  D 2008,Familienserie,Serie,Fr,31.07.,2020-07-31 13:30:00,0 days 00:50:00.000000000,2020-07-31 14:20:00
2974,2NEO,Psych  USA 2013,Krimiserie,Serie,Fr,31.07.,2020-07-31 13:35:00,0 days 00:40:00.000000000,2020-07-31 14:15:00
2975,PRO7M,Storage Wars  USA 2016,Auktionssoap,Unterhaltung,Fr,31.07.,2020-07-31 13:35:00,0 days 00:20:00.000000000,2020-07-31 13:55:00
2976,CC,Modern Family  USA 2016,Sitcom,Serie,Fr,31.07.,2020-07-31 13:39:00,0 days 00:24:00.000000000,2020-07-31 14:03:00
2977,ARTE,Little Miss Sunshine  USA 2006,Komödie,Spielfilm  ab 10 Jahren,Fr,31.07.,2020-07-31 13:40:00,0 days 01:40:00.000000000,2020-07-31 15:20:00
2978,RTLPL,Das Strafgericht  D,Gerichtsshow,Unterhaltung,Fr,31.07.,2020-07-31 13:45:00,0 days 00:45:00.000000000,2020-07-31 14:30:00
2979,3SAT,Zu den Quellen des Essequibo  D 2014,Doku,Report,Fr,31.07.,2020-07-31 13:50:00,0 days 00:45:00.000000000,2020-07-31 14:35:00
2980,PRO7,Two and a Half Men  USA 2010,Comedyserie,Serie,Fr,31.07.,2020-07-31 13:55:00,0 days 00:25:00.000000000,2020-07-31 14:20:00
2981,TELE5,Dauerwerbesendung,Werbesendung,,Fr,31.07.,2020-07-31 13:55:00,0 days 02:00:00.000000000,2020-07-31 15:55:00
2982,RTL-N,Team Knight Rider  USA 1998,Actionserie,Serie,Fr,31.07.,2020-07-31 13:55:00,0 days 00:40:00.000000000,2020-07-31 14:35:00
2983,PRO7M,Storage Wars – Geschäfte in Texas  USA 2013,Realityshow,Unterhaltung,Fr,31.07.,2020-07-31 13:55:00,0 days 00:30:00.000000000,2020-07-31 14:25:00
2984,SERVU,Servus Wetter  A,Wetterbericht,Report,Fr,31.07.,2020-07-31 13:58:00,0 days 00:02:00.000000000,2020-07-31 14:00:00
2985,ARD,Tagesschau  D,Nachrichten,,Fr,31.07.,2020-07-31 14:00:00,0 days 00:10:00.000000000,2020-07-31 14:10:00
2986,ZDF,heute – in Deutschland  D,Nachrichten,,Fr,31.07.,2020-07-31 14:00:00,0 days 00:15:00.000000000,2020-07-31 14:15:00
2987,RTL,"Die Superhändler – 4 Räume, 1 Deal  D",Trödelshow,Unterhaltung,Fr,31.07.,2020-07-31 14:00:00,0 days 01:00:00.000000000,2020-07-31 15:00:00
2988,SAT1,Auf Streife  D,Dokusoap,Unterhaltung,Fr,31.07.,2020-07-31 14:00:00,0 days 01:00:00.000000000,2020-07-31 15:00:00
