,Sender,Titel,Genre,Sparte,Wochentag,Datum,Sendungsanfang,Sendungslänge,Sendungende
6914,FES,Sturm der Liebe  D 2014,Telenovela,Serie,Do,06.08.,2020-06-08 12:35:00,0 days 00:50:00.000000000,2020-06-08 13:25:00
6915,PRO7,Mom  USA 2013,Sitcom,Serie,Do,06.08.,2020-06-08 12:40:00,0 days 00:25:00.000000000,2020-06-08 13:05:00
6916,PRO7M,Border Patrol Australia  AUS,Dokureihe,Report,Do,06.08.,2020-06-08 12:40:00,0 days 00:25:00.000000000,2020-06-08 13:05:00
6917,3SAT,Unkraut,Umweltmagazin,Report,Do,06.08.,2020-06-08 12:45:00,0 days 00:35:00.000000000,2020-06-08 13:20:00
6918,2NEO,Monk  USA 2005,Krimiserie,Serie,Do,06.08.,2020-06-08 12:45:00,0 days 00:45:00.000000000,2020-06-08 13:30:00
6919,CC,Die Wilden Siebziger  USA 2002,Comedyserie,Serie,Do,06.08.,2020-06-08 12:47:00,0 days 00:21:00.000000000,2020-06-08 13:08:00
6920,ARTE,Arte Journal  F/D,Nachrichten,Report,Do,06.08.,2020-06-08 12:50:00,0 days 00:10:00.000000000,2020-06-08 13:00:00
6921,RTL-N,Team Knight Rider  USA 1998,Actionserie,Serie,Do,06.08.,2020-06-08 12:50:00,0 days 00:45:00.000000000,2020-06-08 13:35:00
6922,RTLPL,Das Strafgericht  D,Gerichtsshow,Unterhaltung,Do,06.08.,2020-06-08 12:55:00,0 days 00:50:00.000000000,2020-06-08 13:45:00
6923,ARD,ZDF-Mittagsmagazin,Magazin,Report,Do,06.08.,2020-06-08 13:00:00,0 days 01:00:00.000000000,2020-06-08 14:00:00
6924,ZDF,ZDF-Mittagsmagazin,Magazin,Report,Do,06.08.,2020-06-08 13:00:00,0 days 01:00:00.000000000,2020-06-08 14:00:00
